,Name,Product mz,Charge,QqQ Optimized CE,HRMS Optimized CE (converted),HRMS Optimized CE (unconverted)
58,Guanosine,110.1,1,40.0,36.23564013647591,70.0
60,Histamine,95.2,1,12.0,15.037695921918086,25.0
61,Histamine,68.2,1,24.0,21.331980161558324,40.0
62,Histamine,83.2,1,16.0,17.13579066846483,30.0
63,Homocystine,136.1,1,4.0,10.856128305631604,10.0
64,Homocystine,88.1,1,40.0,31.837075771099077,60.0
65,Homocystine,90.2,1,24.0,23.44469678491209,40.0
66,Homocystine,134.1,1,12.0,15.052317798725095,20.0
67,Indole-3-acetate,130.1,1,12.0,17.996940240019015,30.0
68,Indole-3-acetate,103.1,1,36.0,30.585508719299497,60.0
71,N-Acetyl-MN,84.2,1,20.0,22.812597010236225,40.0
72,N-Acetyl-MN,126.1,1,8.0,14.420218024049234,20.0
73,N-Acetyl-MN,138.1,1,12.0,14.420218024049234,20.0
74,N-Acetyl-MN,204.1,1,4.0,10.22402853095574,10.0
75,NANA,274.1,1,4.0,11.408627067869803,10.0
77,NANA,121.1,1,24.0,23.997195547150287,40.0
79,NAD,136.0,1,40.0,32.95787571384127,50.0
80,NAD,428.0,1,24.0,22.467401981107546,25.0
82,NAD,542.0,1,12.0,16.1731177414673,10.0
83,S-Adenosylmethionine,250.1,1,12.0,16.803078836062422,20.0
84,S-Adenosylmethionine,136.1,1,28.0,25.195457822249413,40.0
85,S-Adenosylmethionine,97.1,1,36.0,29.391647315342908,50.0
86,S-Adenosylmethionine,102.1,1,24.0,20.99926832915592,30.0
87,Selenomethionine,56.2,1,20.0,22.48831244676168,40.0
88,Selenomethionine,181.0,1,8.0,9.899743967481196,10.0
89,Selenomethionine,109.0,1,24.0,22.48831244676168,40.0
90,Selenomethionine,152.0,1,8.0,9.899743967481196,10.0
91,Serotonine,160.1,1,8.0,13.814635406123207,20.0
98,Tryptophan,188.1,1,4.0,9.995226496161994,10.0
99,Tryptophan,146.1,1,16.0,18.38760548234898,30.0
100,Tryptophan,118.1,1,28.0,26.779984468535968,50.0
101,Tryptophan,91.2,1,40.0,39.368552947816454,80.0
102,Uracil,70.2,1,16.0,19.246639502902287,35.0
103,Uracil,96.1,1,16.0,15.050450009808788,25.0
104,Uridine,113.1,1,8.0,14.729498020500682,20.0
105,Uridine,70.2,1,40.0,35.710445485968144,70.0
108,UDP-N-acetyl-GN,204.1,1,12.0,15.419048888231243,10.0
109,UDP-N-acetyl-GN,138.1,1,40.0,28.00761736751173,40.0
110,UDP-N-acetyl-GN,186.1,1,24.0,21.71333312787149,25.0
111,UDP-N-acetyl-GN,168.0,1,28.0,23.81142787441823,30.0
112,cAMP,134.0,-1,20.0,24.23854026560593,40.0
113,cAMP,79.1,-1,36.0,41.02329823797991,80.0
114,cGMP,150.1,-1,20.0,22.35571931846497,35.0
115,cGMP,133.0,-1,40.0,32.84619305119871,60.0
116,cGMP,79.0,-1,36.0,41.2385720373857,80.0
117,6-PGA,79.0,-1,40.0,36.11341209937736,70.0
118,6-PGA,97.0,-1,12.0,15.132464633909896,20.0
121,Adenine,107.1,-1,16.0,17.43135202386565,30.0
122,Adenine,92.1,-1,20.0,21.62754151695914,40.0
123,Adenine,65.2,-1,36.0,30.01992050314613,60.0
124,Adenosine,134.1,-1,8.0,19.208494738035828,30.0
125,Adenosine,107.0,-1,40.0,31.797063217316317,60.0
126,ADP,79.0,-1,36.0,38.145769308356094,70.0
127,ADP,134.0,-1,24.0,19.26291658943537,25.0
128,ADP,328.0,-1,8.0,17.16482184288862,20.0
129,ADP,158.9,-1,28.0,23.459106082528862,35.0
130,Asparagine,113.1,-1,4.0,8.99858276273259,10.0
131,Asparagine,114.0,-1,8.0,13.194772255826088,20.0
133,ATP,158.9,-1,40.0,26.63345930839793,40.0
135,Cellobiose,101.1,-1,8.0,20.218173727760867,30.0
138,Chelidamate,94.1,-1,16.0,18.076871526981602,30.0
139,Chelidamate,138.0,-1,8.0,13.880682033888107,20.0
140,Chelidamate,66.1,-1,40.0,39.05781899244907,80.0
141,cis-Aconitate,85.1,-1,8.0,13.759547144296393,20.0
142,cis-Aconitate,129.0,-1,4.0,9.563357651202898,10.0
143,cis-Aconitate,111.0,-1,4.0,9.563357651202898,10.0
144,Citrate,111.0,-1,8.0,14.001949358995018,20.0
146,Citrate,85.1,-1,16.0,16.100044105541766,25.0
148,CMP-sialic-acid,322.0,-1,16.0,19.683221219013635,20.0
149,CMP-sialic-acid,79.0,-1,40.0,44.860358177574604,80.0
150,Cystine,120.1,-1,4.0,10.451744373798993,10.0
151,Cystine,74.1,-1,16.0,23.040312853079477,40.0
152,Cytidine,109.5,-1,4.0,14.689140515269285,20.0
153,DHAP,97.0,-1,4.0,15.80355813355666,25.0
154,DHAP,79.1,-1,24.0,30.490221359383888,60.0
155,F6P,97.0,-1,12.0,14.917190747021301,20.0
156,F6P,79.1,-1,40.0,40.094327705582266,80.0
157,FBP,97.0,-1,20.0,20.189638584848176,30.0
158,Fumarate,71.2,-1,4.0,8.782668054840713,10.0
159,G1P,79.1,-1,28.0,40.094327705582266,80.0
160,GN6P,79.1,-1,40.0,40.08108388488442,80.0
161,GN6P,97.0,-1,16.0,19.100136419416952,30.0
162,G6P,97.1,-1,12.0,14.917190747021301,20.0
163,Glutamine,127.1,-1,8.0,13.383407401009846,20.0
164,Glutamine,109.1,-1,8.0,13.383407401009846,20.0
166,G3P,97.0,-1,4.0,15.803558463299561,25.0
167,G3P,79.0,-1,28.0,30.490221689126788,60.0
168,Guanosine,150.1,-1,16.0,19.42376853340395,30.0
169,Guanosine,133.0,-1,32.0,27.816147519590942,50.0
170,Guanosine,108.0,-1,36.0,36.20852650577793,70.0
171,Homocystine,132.1,-1,4.0,10.829014664166513,10.0
172,Homocystine,72.2,-1,12.0,15.025204157260006,20.0
173,Homocystine,115.0,-1,16.0,15.025204157260006,20.0
174,Homocystine,134.0,-1,8.0,15.025204157260006,20.0
175,Hydroxyglutarate,129.1,-1,8.0,9.213705460483336,10.0
176,Hydroxyglutarate,57.2,-1,20.0,19.704179193217076,35.0
177,Hydroxyglutarate,85.1,-1,12.0,15.507989700123579,25.0
178,Hydroxyglutarate,101.1,-1,12.0,15.507989700123579,25.0
179,Indole-3-acetate,130.1,-1,8.0,9.577447612366932,10.0
180,Indole-3-acetate,128.1,-1,20.0,17.969826598553922,30.0
181,Isocitrate,111.0,-1,12.0,14.001949358995018,20.0
182,Isocitrate,173.0,-1,4.0,9.805759865901523,10.0
183,Isocitrate,73.1,-1,20.0,22.394328345182007,40.0
184,Isocitrate,85.1,-1,16.0,16.100044105541766,25.0
185,Malate,115.0,-1,8.0,13.221259762632833,20.0
186,Malate,71.1,-1,12.0,17.41744925572632,30.0
187,Malate,73.1,-1,16.0,17.41744925572632,30.0
188,Mannitol,59.2,-1,20.0,22.260439764736955,40.0
189,Mannitol,71.2,-1,20.0,18.06425027164346,30.0
190,Mannitol,89.1,-1,12.0,13.868060778549964,20.0
192,N-Acetyl-GN1P,79.1,-1,28.0,36.450310160483646,70.0
194,N-Acety-MN6P,97.0,-1,20.0,15.46936313108434,20.0
196,NANA,87.1,-1,8.0,15.577702919498206,20.0
197,NANA,170.1,-1,8.0,15.577702919498206,20.0
198,NANA,98.1,-1,20.0,23.970081905685195,40.0
199,NAD,540.0,-1,8.0,16.14600410000221,10.0
201,PEP,79.0,-1,8.0,13.678335296076414,20.0
204,Selenomethionine,95.0,-1,8.0,18.265009322970208,30.0
207,Succinate,73.1,-1,8.0,13.005985967264714,20.0
209,Trehalose,89.0,-1,16.0,18.12007898121412,25.0
210,Trehalose,119.0,-1,16.0,16.02198423466737,20.0
211,Trehalose,179.0,-1,8.0,16.02198423466737,20.0
212,Tryptophan,116.0,-1,12.0,18.360491840883892,30.0
213,Tryptophan,142.1,-1,12.0,18.360491840883892,30.0
214,Tryptophan,74.2,-1,12.0,16.262397094337143,25.0
215,Tryptophan,159.0,-1,4.0,14.164302347790393,20.0
217,UDP-N-acetyl-GN,384.9,-1,28.0,23.78431423295314,30.0
218,UDP-N-acetyl-GN,282.0,-1,32.0,23.78431423295314,30.0
219,AKG,101.1,-1,4.0,9.186576995392588,10.0
220,AKG,57.2,-1,8.0,13.382766488486086,20.0
221,Glutamate,84.2,1,16.0,17.619954356266273,30.0
222,Glutamate,56.2,1,28.0,30.20852283554676,60.0
223,Glutamate,130.0,1,8.0,9.227575370079288,10.0
224,Glutamate,102.1,1,8.0,9.227575370079288,10.0
225,Aspartate,74.2,1,12.0,13.235129717989023,20.0
226,Aspartate,88.1,1,8.0,13.235129717989023,20.0
227,Aspartate,116.0,1,4.0,9.038940224895525,10.0
228,Methionine,56.2,1,16.0,17.64684374564252,30.0
229,Methionine,61.2,1,24.0,21.843033238736016,40.0
230,Methionine,133.0,1,4.0,9.254464759455534,10.0
231,Methionine,104.1,1,8.0,9.254464759455534,10.0
232,Serine,60.2,1,8.0,12.858349148315634,20.0
233,Serine,88.2,1,8.0,12.858349148315634,20.0
234,Serine,70.2,1,12.0,14.956443894862382,25.0
238,Threonine,74.2,1,8.0,13.046984207362476,20.0
239,Threonine,56.2,1,16.0,17.24317370045597,30.0
240,Proline,70.2,1,16.0,17.1894066309411,30.0
242,Valine,72.2,1,8.0,15.118440303724864,25.0
243,Valine,55.2,1,20.0,21.41272454336511,40.0
244,Valine,57.2,1,32.0,29.80510352955209,60.0
245,Valine,56.2,1,40.0,38.197482515739075,80.0
246,Isoleucine,86.2,1,8.0,15.307075448908622,25.0
247,Isoleucine,69.2,1,16.0,19.50326494200211,35.0
248,Leucine,86.2,1,8.0,13.208980702361874,20.0
249,Phenylalanine,120.1,1,8.0,13.666372460591118,20.0
250,Phenylalanine,103.1,1,28.0,26.254940939871602,50.0
251,Phenylalanine,77.2,1,40.0,38.84350941915209,80.0
252,Phenylalanine,91.1,1,40.0,34.647319926058586,70.0
253,Histidine,110.1,1,12.0,13.531655662888776,20.0
254,Histidine,83.2,1,28.0,26.12022414216926,50.0
255,Histidine,93.1,1,24.0,26.12022414216926,50.0
256,Histidine,56.2,1,40.0,34.512603128356254,70.0
257,Arginine,70.2,1,24.0,22.180321596996,40.0
258,Arginine,60.2,1,12.0,13.787942610809006,20.0
259,Arginine,116.1,1,12.0,13.787942610809006,20.0
260,Arginine,130.1,1,12.0,13.787942610809006,20.0
261,Lysine,84.2,1,16.0,17.607200304714578,30.0
262,Lysine,130.1,1,4.0,9.214821318527594,10.0
